"104.ogg","Washboard isn't in properly. Put it in right. Clasp both sides tight. Both sides."
"105.ogg","Starting the cleaning. Big job. I'm ready. This is what I do."
"106.ogg","Cleaning the mop now. Keeping everything fresh and clean. I clean my cleaning tools too."
"107.ogg","Wringing out the mop. Getting the water out. Very efficient process."
"108.ogg","Water level on the washboard is abnormal. Clean it soon before it gets blocked. Don't wait."
"109.ogg","Problem with the dirty water tank. Make sure it's installed. Empty it if it's full."
"110.ogg","Auto emptying now. This is very convenient. Very smart technology."
"111.ogg","Mop pads are off. Install them before I resume. I need those pads."
"112.ogg","Put me back on the self-wash base. That is where I belong before use."
"113.ogg","All done. Task complete. Empty the waste tank soon. Don't leave it."
"114.ogg","Mop pads are installed. Great. Let's go."
"115.ogg","Mop pads removed. Got it."
"116.ogg","Child lock is on. Buttons are locked. Very safe. Nobody is pressing anything by accident."
"117.ogg","Child lock is off. Buttons are unlocked. We are open for business."
"118.ogg","Buttons are locked. Press and hold the dock button to unlock. Simple."
"119.ogg","Buttons are locked. Nothing is getting pressed. Nobody."
"120.ogg","Buttons are unlocked. We are ready. Let's do this."
"121.ogg","Connected to your phone. Head back to the app and wait for the network. It will be great."
"122.ogg","Still finding my position. Continuous positioning. Give me just one more moment."
"126.ogg","Starting to clean. Going to be absolutely tremendous. Watch."
"127.ogg","Spot cleaning right here. Very targeted. Nobody targets a spot like I do."
"128.ogg","Starting the spot mop. Very precise. Very effective."
"129.ogg","Scheduled cleaning begins now. Right on time. I am always on time."
"130.ogg","Scheduled mopping starts now. Right on schedule. Perfect timing."
"131.ogg","Spot clean, starting now. Let's do it."
"132.ogg","Spot mop, starting now. Here we go."
"133.ogg","Cleaning your selected room. Excellent room. Great selection."
"134.ogg","Mopping your selected room. It will be spotless. The most spotless room."
"135.ogg","Zoned cleaning underway. Very organized. I love a good zone."
"136.ogg","Zoned mopping starting now. Zone by zone. Very methodical."
"137.ogg","Resuming the cleaning. I never truly stopped caring about these floors. Never."
"138.ogg","Back to mopping. The job isn't finished until the floor absolutely shines."
"139.ogg","Heading back to the base for self-cleaning. I maintain myself at a very high level."
"140.ogg","New environment detected. Things have changed. Returning to the self-wash base."
"141.ogg","Mop pad problem. Check it and clean it right away."
"142.ogg","Mop pad is completely worn out. Replace it. Keep me at full performance. I demand it."
"143.ogg","Cleaning complete. Everything looks fantastic. Absolutely beautiful floors. You are very welcome."
"144.ogg","Mopping complete. Floor is beautiful. The best floor. I did that."
"145.ogg","Position locked. Back to cleaning. Very smooth. Very professional."
"146.ogg","Position confirmed. Resuming the mopping. We never stop."
"148.ogg","Heading to the base for self-cleaning. I take my own hygiene very seriously, believe me."
"149.ogg","Cannot reach that area. Something is blocking the path. Clear the obstacles and I will get there."
"150.ogg","Cannot reach the area. A no-go zone is in the way. Remove it and I will handle the rest."
"151.ogg","Path is blocked. Clear the area around me. I need room to work."
"152.ogg","Blocked again. Delete the no-go zones or move me out of this area. One or the other."
"153.ogg","I am inside a no-go zone. This is a problem. Move me out of here immediately."
"154.ogg","Too many commands at once. Slow down. Try again in a moment. Patience."
"155.ogg","Heading back to the charging and mop cleaning dock. Full service stop."
"156.ogg","Mop pad tray is uninstalled. Noted."
"157.ogg","I am already at the dock. I am right here. Been here the whole time, believe me."
"200.ogg","Tremendous job today. The cleaning was absolutely beautiful. Perfect. Like you have never seen before. I am shutting down now. We will be back. Very soon."
